DataJamID,RECORD_ID,YEAR,MONTH,Gas_USE_kBtu
255,623512,2010,03,18200
255,623513,2010,04,12500
255,623514,2010,05,2000
255,623515,2010,06,1500
255,623516,2010,07,1300
255,623517,2010,08,1300
255,623518,2010,09,1400
255,623519,2010,10,1400
255,623520,2010,11,1600
255,623521,2010,12,4300
257,623522,2010,01,6200
257,623523,2010,02,3700
257,623524,2010,03,5100
257,623525,2010,04,2300
257,623526,2010,05,1700
257,623527,2010,06,1400
257,623528,2010,07,1000
257,623529,2010,08,700
257,623530,2010,09,900
257,623531,2010,10,1200
257,623532,2010,11,1200
257,623533,2010,12,2100
258,623534,2010,01,15000
258,623535,2010,02,8300
258,623536,2010,03,12200
258,623537,2010,04,3900
258,623538,2010,05,2200
258,623539,2010,06,1600
258,623540,2010,07,2400
258,623541,2010,08,1700
258,623542,2010,09,1300
258,623543,2010,10,1400
258,623544,2010,11,1600
258,623545,2010,12,4400
268,623546,2010,01,7100
268,623547,2010,02,2700
268,623548,2010,03,4400
268,623549,2010,04,1300
268,623550,2010,05,1000
268,623551,2010,06,900
268,623552,2010,07,1200
268,623553,2010,08,700
268,623554,2010,09,900
268,623555,2010,10,800
268,623556,2010,11,1200
268,623557,2010,12,2500
269,623558,2010,01,11300
269,623559,2010,02,8600
269,623560,2010,03,10500
269,623561,2010,04,4500
269,623562,2010,05,1400
269,623563,2010,06,1000
269,623564,2010,07,1200
269,623565,2010,08,800
269,623566,2010,09,600
269,623567,2010,10,900
269,623568,2010,11,2400
269,623569,2010,12,5900
270,623570,2010,01,19900
270,623571,2010,02,11200
270,623572,2010,03,14400
270,623573,2010,04,3300
270,623574,2010,05,500
270,623575,2010,06,400
270,623576,2010,07,400
270,623577,2010,08,400
270,623578,2010,09,400
270,623579,2010,10,400
270,623580,2010,11,2500
270,623581,2010,12,9900
278,623582,2010,01,6500
278,623583,2010,02,4000
278,623584,2010,03,6400
278,623585,2010,04,2000
278,623586,2010,05,1300
278,623587,2010,06,800
278,623588,2010,07,700
278,623589,2010,08,600
278,623590,2010,09,600
278,623591,2010,10,800
278,623592,2010,11,1300
278,623593,2010,12,2500
280,623594,2010,01,4700
280,623595,2010,02,3000
280,623596,2010,03,4900
280,623597,2010,04,1800
280,623598,2010,05,1700
