DataJamID,FACILITYTYPEID,YEARCOMPLETED,CENSUSDIVISIONID,GROSSFLOORAREA,NUMFLOORS,WALLTYPEID,WINDOWGLASSTYPE,ATTICINSTHICKNESS,WALLINSTHICKNESS,ZIPCODE,CLIMATEZONEID,ASSET_HEATING_FUEL_ID,HEATING_SYS,HEATINGSYST_EFF,HEATINGSYST_EFF_FLAG,ASSET_COOLING_FUEL_ID,COOLING_SYS,COOLINGSYST_EFF,COOLINGSYST_EFF_FLAG
21161,1,1977,,2444,3,,,,,32607,,1,1,,,2,19,6,
21162,1,1990,,2674,1,,,,,32608,,2,4,,,2,19,8,
21163,1,1983,,1454,1,,,,,32608,,2,4,,,2,19,7,
21164,1,1988,,2894,1,,,,,32607,,1,1,,,2,19,8,
21165,1,2000,,1941,1,,,,,32608,,2,4,,,2,19,10,
21166,1,1983,,1852,1,,,,,32608,,2,4,,,2,19,7,
21167,1,1999,,1534,1,,,,,32608,,2,4,,,2,19,10,
21168,1,1987,,1934,1,,,,,32607,,1,1,,,2,19,8,
21169,1,1987,,1328,1,,,,,32606,,2,4,,,2,19,8,
21170,1,2004,,1825,1,,,,,32606,,2,4,,,2,19,10,
21171,1,1989,,2199,1,,,,,32607,,1,1,,,2,19,8,
21172,1,1998,,1428,1,,,,,32608,,2,4,,,2,19,10,
21173,1,2005,,3507,2,,,,,32607,,1,1,,,2,19,12,
21174,1,2004,,1681,1,,,,,32606,,2,4,,,2,19,10,
21175,1,2005,,3509,2,,,,,32607,,1,1,,,2,19,12,
21176,1,2005,,2134,1,,,,,32607,,1,1,,,2,19,12,
21177,1,2004,,1696,1,,,,,32606,,2,4,,,2,19,10,
21178,1,2004,,3566,2,,,,,32607,,1,1,,,2,19,10,
21179,1,2005,,2443,1,,,,,32607,,1,1,,,2,19,12,
21180,1,1978,,1696,1,,,,,32607,,1,1,,,2,19,6,
21181,1,1980,,2532,1,,,,,32607,,1,1,,,2,19,13,
21182,1,1982,,2366,1,,,,,32607,,2,4,,,2,19,7,
21183,1,1983,,1764,3,,,,,32607,,1,1,,,2,19,7,
21184,1,1985,,2696,1,,,,,32607,,2,4,,,2,19,7,
21185,1,2002,,2507,1,,,,,32607,,1,1,,,2,19,10,
21186,1,1992,,1947,2,,,,,32606,,2,4,,,2,19,10,
21187,1,2000,,1876,1,,,,,32608,,2,4,,,2,19,10,
21188,1,1988,,3973,2,,,,,32607,,1,1,,,2,19,8,
21189,1,1999,,1416,1,,,,,32608,,2,4,,,2,19,10,
21190,1,1985,,1905,1,,,,,32607,,2,4,,,2,19,7,
21191,1,1976,,1881,1,,,,,32607,,1,1,,,2,19,6,
21192,1,1985,,3030,2,,,,,32607,,1,1,,,2,19,7,
21193,1,1990,,2246,1,,,,,32607,,1,1,,,2,19,8,
21194,1,1991,,1859,2,,,,,32606,,2,4,,,2,19,10,
21195,1,2000,,2214,2,,,,,32607,,1,1,,,2,19,10,
21196,1,1999,,2079,1,,,,,32606,,1,1,,,2,19,10,
21197,1,1995,,2776,2,,,,,32607,,1,1,,,2,19,10,
21198,1,1984,,1733,1,,,,,32608,,2,4,,,2,19,7,
21199,1,1990,,1601,2,,,,,32606,,2,4,,,2,19,8,
21200,1,1994,,2340,2,,,,,32607,,1,1,,,2,19,10,
21201,1,1976,,3111,1,,,,,32607,,2,4,,,2,19,6,
21202,1,2003,,2490,1,,,,,32607,,1,1,,,2,19,10,
21203,1,1986,,1794,1,,,,,32608,,2,4,,,2,19,8,
21204,1,1990,,2145,1,,,,,32608,,2,4,,,2,19,8,
21205,1,1985,,2238,2,,,,,32607,,2,4,,,2,19,7,
21206,1,2004,,1552,1,,,,,32606,,2,4,,,2,19,10,
21207,1,1980,,3371,1,,,,,32607,,1,1,,,2,19,13,
21208,1,2001,,1555,1,,,,,32606,,1,1,,,2,19,10,
21209,1,1999,,1810,1,,,,,32608,,2,4,,,2,19,10,
21210,1,1996,,1760,1,,,,,32606,,2,4,,,2,19,10,
21211,1,1997,,1570,1,,,,,32606,,2,4,,,2,19,10,
21212,1,2004,,1692,1,,,,,32606,,2,4,,,2,19,10,
21213,1,1993,,1523,1,,,,,32606,,2,4,,,2,19,10,
21214,1,2002,,3161,2,,,,,32607,,1,1,,,2,19,10,
21215,1,1989,,3368,1,,,,,32608,,2,4,,,2,19,8,
21216,1,2003,,2447,1,,,,,32607,,1,1,,,2,19,10,
21217,1,1996,,1346,1,,,,,32606,,2,4,,,2,19,10,
21218,1,1989,,3236,1,,,,,32608,,2,4,,,2,19,8,
21219,1,1989,,2621,1,,,,,32608,,2,4,,,2,19,8,
21220,1,2001,,1886,1,,,,,32606,,1,1,,,2,19,10,
21221,1,1987,,1000,1,,,,,32606,,2,4,,,2,19,8,
21222,1,1992,,4622,2,,,,,32608,,2,4,,,2,19,10,
21223,1,1994,,1876,1,,,,,32653,,2,4,,,2,19,10,
21224,1,2002,,2213,1,,,,,32606,,1,1,,,2,19,10,
21225,1,1995,,2468,1,,,,,32653,,2,4,,,2,19,10,
21226,1,2001,,2154,1,,,,,32606,,1,1,,,2,19,10,
21227,1,1985,,957,1,,,,,32641,,2,4,,,2,19,7,
21228,1,1996,,1636,1,,,,,32606,,1,1,,,2,19,10,
21229,1,1969,,2511,1,,,,,32605,,2,4,,,2,19,6,
21230,1,1974,,847,1,,,,,32601,,2,4,,,,,,
21231,1,1973,,2302,1,,,,,32606,,2,4,,,2,19,6,
21232,1,1969,,1334,1,,,,,32641,,2,4,,,2,19,6,
21233,1,1976,,1208,1,,,,,32641,,2,4,,,2,19,6,
21234,1,1968,,1304,1,,,,,32641,,2,4,,,2,19,6,
21235,1,1965,,1257,1,,,,,32641,,1,1,,,2,19,6,
21236,1,1969,,1593,1,,,,,32605,,2,4,,,2,19,6,
21237,1,1967,,2279,3,,,,,32605,,2,4,,,2,19,6,
21238,1,1987,,1610,2,,,,,32607,,1,1,,,2,19,8,
21239,1,2003,,1944,1,,,,,32607,,1,1,,,2,19,10,
21240,1,1999,,1362,1,,,,,32606,,1,1,,,2,19,10,
21241,1,1994,,2324,1,,,,,32606,,2,4,,,2,19,10,
21242,1,1965,,1002,1,,,,,32601,,1,1,,,2,19,6,
21243,1,1998,,2679,1,,,,,32607,,1,1,,,2,19,10,
21244,1,1987,,2061,2,,,,,32607,,2,4,,,2,19,8,
21245,1,1968,,1300,1,,,,,32641,,2,4,,,2,19,6,
21246,1,1988,,1832,1,,,,,32607,,2,4,,,2,19,8,
21247,1,1990,,1170,1,,,,,32641,,1,1,,,2,19,8,
21248,1,1961,,1536,1,,,,,32609,,1,1,,,2,19,6,
21249,1,1974,,1288,1,,,,,32641,,2,4,,,2,19,6,
21250,1,1974,,1872,1,,,,,32641,,1,1,,,2,19,6,
21251,1,1999,,2178,1,,,,,32606,,2,4,,,2,19,10,
21252,1,1965,,1144,1,,,,,32603,,2,4,,,2,19,6,
21253,1,1971,,1449,1,,,,,32605,,1,1,,,2,19,6,
21254,1,1968,,936,1,,,,,32641,,2,4,,,2,19,6,
